model,PSNR_mean,SSIM_mean,PSNR_std,SSIM_std,checkpoint
V1,20.656550986262367,0.8270028058290482,2.597244944571074,0.08684093543098863,-
Plg-A (ep0),20.6215963578117,0.8263542900085449,2.5285846104070098,0.08514111047869215,./checkpoints/rwkv_plugin/plugin_A/plugin_A_epoch_0.pth
Plg-B (full ep14),16.67809996497254,0.6972784190177918,1.7907103258206494,0.08577579566283404,./checkpoints/rwkv_plugin_v2/plugin_B_full/plugin_B_epoch_14.pth
Plg-C (full ep14),20.13648987935834,0.8170670589208603,2.7504940113820227,0.1067365522062376,./checkpoints/rwkv_plugin_v2/plugin_C_full/plugin_C_epoch_14.pth
Plg-D (full ep14),15.73250761291281,0.7277012475728989,2.0116574859152925,0.11030094706297039,./checkpoints/rwkv_plugin_v2/plugin_D_full/plugin_D_epoch_14.pth
Hazy (input),13.882303891856226,0.7018043570518494,0,0,-
